timestamp_utc,renewable_pct,carbon_intensity
2026-08-28 20:00:00+00:00,27.68,517.7
2026-08-28 21:00:00+00:00,26.94,536.4
2026-08-28 22:00:00+00:00,30.0,507.5
2026-08-28 23:00:00+00:00,26.34,531.4
2026-08-29 00:00:00+00:00,27.42,529.2
2026-08-29 01:00:00+00:00,23.82,523.7
2026-08-29 02:00:00+00:00,22.82,520.7
2026-08-29 03:00:00+00:00,22.53,544.8
2026-08-29 04:00:00+00:00,22.49,534.6
2026-08-29 05:00:00+00:00,36.58,497.3
2026-08-29 06:00:00+00:00,43.16,461.3
2026-08-29 07:00:00+00:00,53.05,431.5
2026-08-29 08:00:00+00:00,51.74,447.9
2026-08-29 09:00:00+00:00,44.09,461.4
2026-08-29 10:00:00+00:00,34.17,490.3
2026-08-29 11:00:00+00:00,21.75,527.8
2026-08-29 12:00:00+00:00,21.96,556.6
2026-08-29 13:00:00+00:00,23.29,536.4
2026-08-29 14:00:00+00:00,21.22,558.7
2026-08-29 15:00:00+00:00,28.09,539.6
2026-08-29 16:00:00+00:00,28.72,503.4
2026-08-29 17:00:00+00:00,28.16,541.3
2026-08-29 18:00:00+00:00,26.33,547.5
2026-08-29 19:00:00+00:00,26.33,531.7
2026-08-29 20:00:00+00:00,27.68,517.7
2026-08-29 21:00:00+00:00,26.94,536.4
2026-08-29 22:00:00+00:00,30.0,507.5
2026-08-29 23:00:00+00:00,26.34,531.4
2026-08-30 00:00:00+00:00,27.42,529.2
2026-08-30 01:00:00+00:00,23.82,523.7
2026-08-30 02:00:00+00:00,22.82,520.7
2026-08-30 03:00:00+00:00,22.53,544.8
2026-08-30 04:00:00+00:00,22.49,534.6
2026-08-30 05:00:00+00:00,36.58,497.3
2026-08-30 06:00:00+00:00,43.16,461.3
2026-08-30 07:00:00+00:00,53.05,431.5
2026-08-30 08:00:00+00:00,51.74,447.9
2026-08-30 09:00:00+00:00,44.09,461.4
2026-08-30 10:00:00+00:00,34.17,490.3
2026-08-30 11:00:00+00:00,21.75,527.8
2026-08-30 12:00:00+00:00,21.96,556.6
