timestamp_utc,renewable_pct,carbon_intensity
2026-08-28 20:00:00+00:00,30.2,531.5
2026-08-28 21:00:00+00:00,31.08,533.5
2026-08-28 22:00:00+00:00,30.85,506.9
2026-08-28 23:00:00+00:00,27.82,537.2
2026-08-29 00:00:00+00:00,30.42,517.4
2026-08-29 01:00:00+00:00,26.22,531.5
2026-08-29 02:00:00+00:00,24.18,551.4
2026-08-29 03:00:00+00:00,26.33,511.4
2026-08-29 04:00:00+00:00,25.41,526.7
2026-08-29 05:00:00+00:00,32.41,519.5
2026-08-29 06:00:00+00:00,38.24,479.2
2026-08-29 07:00:00+00:00,42.26,458.6
2026-08-29 08:00:00+00:00,41.71,464.8
2026-08-29 09:00:00+00:00,38.08,474.6
2026-08-29 10:00:00+00:00,32.35,520.8
2026-08-29 11:00:00+00:00,23.66,526.6
2026-08-29 12:00:00+00:00,25.13,532.5
2026-08-29 13:00:00+00:00,23.72,558.4
2026-08-29 14:00:00+00:00,23.96,558.7
2026-08-29 15:00:00+00:00,31.36,531.7
2026-08-29 16:00:00+00:00,27.14,528.6
2026-08-29 17:00:00+00:00,27.32,534.0
2026-08-29 18:00:00+00:00,30.46,497.8
2026-08-29 19:00:00+00:00,31.63,498.0
2026-08-29 20:00:00+00:00,30.2,531.5
2026-08-29 21:00:00+00:00,31.08,533.5
2026-08-29 22:00:00+00:00,30.85,506.9
2026-08-29 23:00:00+00:00,27.82,537.2
2026-08-30 00:00:00+00:00,30.42,517.4
2026-08-30 01:00:00+00:00,26.22,531.5
2026-08-30 02:00:00+00:00,24.18,551.4
2026-08-30 03:00:00+00:00,26.33,511.4
2026-08-30 04:00:00+00:00,25.41,526.7
2026-08-30 05:00:00+00:00,32.41,519.5
2026-08-30 06:00:00+00:00,38.24,479.2
2026-08-30 07:00:00+00:00,42.26,458.6
2026-08-30 08:00:00+00:00,41.71,464.8
2026-08-30 09:00:00+00:00,38.08,474.6
2026-08-30 10:00:00+00:00,32.35,520.8
2026-08-30 11:00:00+00:00,23.66,526.6
2026-08-30 12:00:00+00:00,25.13,532.5
2026-08-30 13:00:00+00:00,23.72,558.4
2026-08-30 14:00:00+00:00,23.96,558.7
2026-08-30 15:00:00+00:00,31.36,531.7
2026-08-30 16:00:00+00:00,27.14,528.6
2026-08-30 17:00:00+00:00,27.32,534.0
2026-08-30 18:00:00+00:00,30.46,497.8
2026-08-30 19:00:00+00:00,31.63,498.0
2026-08-30 20:00:00+00:00,30.2,531.5
2026-08-30 21:00:00+00:00,31.08,533.5
2026-08-30 22:00:00+00:00,30.85,506.9
2026-08-30 23:00:00+00:00,27.82,537.2
2026-08-31 00:00:00+00:00,30.42,517.4
2026-08-31 01:00:00+00:00,26.22,531.5
2026-08-31 02:00:00+00:00,24.18,551.4
2026-08-31 03:00:00+00:00,26.33,511.4
2026-08-31 04:00:00+00:00,25.41,526.7
2026-08-31 05:00:00+00:00,32.41,519.5
2026-08-31 06:00:00+00:00,38.24,479.2
2026-08-31 07:00:00+00:00,42.26,458.6
2026-08-31 08:00:00+00:00,41.71,464.8
2026-08-31 09:00:00+00:00,38.08,474.6
2026-08-31 10:00:00+00:00,32.35,520.8
2026-08-31 11:00:00+00:00,23.66,526.6
2026-08-31 12:00:00+00:00,25.13,532.5
2026-08-31 13:00:00+00:00,23.72,558.4
2026-08-31 14:00:00+00:00,23.96,558.7
2026-08-31 15:00:00+00:00,31.36,531.7
2026-08-31 16:00:00+00:00,27.14,528.6
2026-08-31 17:00:00+00:00,27.32,534.0
2026-08-31 18:00:00+00:00,30.46,497.8
2026-08-31 19:00:00+00:00,31.63,498.0
2026-08-31 20:00:00+00:00,30.2,531.5
2026-08-31 21:00:00+00:00,31.08,533.5
2026-08-31 22:00:00+00:00,30.85,506.9
2026-08-31 23:00:00+00:00,27.82,537.2
2026-09-01 00:00:00+00:00,29.41,520.8
2026-09-01 01:00:00+00:00,25.21,535.0
2026-09-01 02:00:00+00:00,23.19,554.9
2026-09-01 03:00:00+00:00,25.32,514.7
2026-09-01 04:00:00+00:00,24.44,530.0
2026-09-01 05:00:00+00:00,31.47,522.8
2026-09-01 06:00:00+00:00,37.32,482.3
2026-09-01 07:00:00+00:00,41.29,461.7
2026-09-01 08:00:00+00:00,40.79,467.9
2026-09-01 09:00:00+00:00,37.07,477.9
2026-09-01 10:00:00+00:00,31.42,524.1
2026-09-01 11:00:00+00:00,22.75,529.7
2026-09-01 12:00:00+00:00,24.17,535.8
2026-09-01 13:00:00+00:00,22.82,561.5
2026-09-01 14:00:00+00:00,23.05,561.9
2026-09-01 15:00:00+00:00,30.37,535.2
2026-09-01 16:00:00+00:00,26.24,531.7
2026-09-01 17:00:00+00:00,26.42,537.1
2026-09-01 18:00:00+00:00,29.51,501.0
2026-09-01 19:00:00+00:00,30.61,501.4
2026-09-01 20:00:00+00:00,29.23,534.9
2026-09-01 21:00:00+00:00,30.07,537.0
2026-09-01 22:00:00+00:00,29.84,510.3
2026-09-01 23:00:00+00:00,26.82,540.7
2026-09-02 00:00:00+00:00,29.41,520.8
2026-09-02 01:00:00+00:00,25.21,535.0
2026-09-02 02:00:00+00:00,23.19,554.9
2026-09-02 03:00:00+00:00,25.32,514.7
2026-09-02 04:00:00+00:00,24.44,530.0
2026-09-02 05:00:00+00:00,31.47,522.8
2026-09-02 06:00:00+00:00,37.32,482.3
2026-09-02 07:00:00+00:00,41.29,461.7
2026-09-02 08:00:00+00:00,40.79,467.9
2026-09-02 09:00:00+00:00,37.07,477.9
2026-09-02 10:00:00+00:00,31.42,524.1
2026-09-02 11:00:00+00:00,22.75,529.7
2026-09-02 12:00:00+00:00,24.17,535.8
2026-09-02 13:00:00+00:00,22.82,561.5
2026-09-02 14:00:00+00:00,23.05,561.9
2026-09-02 15:00:00+00:00,30.37,535.2
2026-09-02 16:00:00+00:00,26.24,531.7
2026-09-02 17:00:00+00:00,26.42,537.1
2026-09-02 18:00:00+00:00,29.51,501.0
2026-09-02 19:00:00+00:00,30.61,501.4
2026-09-02 20:00:00+00:00,29.23,534.9
2026-09-02 21:00:00+00:00,30.07,537.0
2026-09-02 22:00:00+00:00,29.84,510.3
2026-09-02 23:00:00+00:00,26.82,540.7
2026-09-03 00:00:00+00:00,29.41,520.8
2026-09-03 01:00:00+00:00,25.21,535.0
2026-09-03 02:00:00+00:00,23.19,554.9
2026-09-03 03:00:00+00:00,25.32,514.7
2026-09-03 04:00:00+00:00,24.44,530.0
2026-09-03 05:00:00+00:00,31.47,522.8
2026-09-03 06:00:00+00:00,37.32,482.3
2026-09-03 07:00:00+00:00,41.29,461.7
2026-09-03 08:00:00+00:00,40.79,467.9
2026-09-03 09:00:00+00:00,37.07,477.9
2026-09-03 10:00:00+00:00,31.42,524.1
2026-09-03 11:00:00+00:00,22.75,529.7
2026-09-03 12:00:00+00:00,24.17,535.8
2026-09-03 13:00:00+00:00,22.82,561.5
2026-09-03 14:00:00+00:00,23.05,561.9
2026-09-03 15:00:00+00:00,30.37,535.2
2026-09-03 16:00:00+00:00,26.24,531.7
2026-09-03 17:00:00+00:00,26.42,537.1
2026-09-03 18:00:00+00:00,29.51,501.0
2026-09-03 19:00:00+00:00,30.61,501.4
2026-09-03 20:00:00+00:00,29.23,534.9
2026-09-03 21:00:00+00:00,30.07,537.0
2026-09-03 22:00:00+00:00,29.84,510.3
2026-09-03 23:00:00+00:00,26.82,540.7
2026-09-04 00:00:00+00:00,29.41,520.8
2026-09-04 01:00:00+00:00,25.21,535.0
2026-09-04 02:00:00+00:00,23.19,554.9
2026-09-04 03:00:00+00:00,25.32,514.7
2026-09-04 04:00:00+00:00,24.44,530.0
2026-09-04 05:00:00+00:00,31.47,522.8
2026-09-04 06:00:00+00:00,37.32,482.3
2026-09-04 07:00:00+00:00,41.29,461.7
2026-09-04 08:00:00+00:00,40.79,467.9
2026-09-04 09:00:00+00:00,37.07,477.9
2026-09-04 10:00:00+00:00,31.42,524.1
2026-09-04 11:00:00+00:00,22.75,529.7
2026-09-04 12:00:00+00:00,24.17,535.8
2026-09-04 13:00:00+00:00,22.82,561.5
2026-09-04 14:00:00+00:00,23.05,561.9
2026-09-04 15:00:00+00:00,30.37,535.2
2026-09-04 16:00:00+00:00,26.24,531.7
2026-09-04 17:00:00+00:00,26.42,537.1
2026-09-04 18:00:00+00:00,29.51,501.0
2026-09-04 19:00:00+00:00,30.61,501.4
2026-09-04 20:00:00+00:00,29.23,534.9
2026-09-04 21:00:00+00:00,30.07,537.0
2026-09-04 22:00:00+00:00,29.84,510.3
2026-09-04 23:00:00+00:00,26.82,540.7
2026-09-05 00:00:00+00:00,29.41,520.8
2026-09-05 01:00:00+00:00,25.21,535.0
2026-09-05 02:00:00+00:00,23.19,554.9
